"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","07.01.2023 12:00 - 07.01.2023 13:00 (CET/CEST)","1539","2046","1972"
"BZN|BE","07.01.2023 13:00 - 07.01.2023 14:00 (CET/CEST)","1262","2173","2008"
"BZN|BE","07.01.2023 14:00 - 07.01.2023 15:00 (CET/CEST)","705","2187","2048"
"BZN|BE","07.01.2023 15:00 - 07.01.2023 16:00 (CET/CEST)","244","2187","1994"
"BZN|BE","07.01.2023 16:00 - 07.01.2023 17:00 (CET/CEST)","30","2155","2074"
"BZN|BE","07.01.2023 17:00 - 07.01.2023 18:00 (CET/CEST)","0","2186","2172"
"BZN|BE","07.01.2023 18:00 - 07.01.2023 19:00 (CET/CEST)","0","2178","2219"
"BZN|BE","07.01.2023 19:00 - 07.01.2023 20:00 (CET/CEST)","0","2189","2213"
"BZN|BE","07.01.2023 20:00 - 07.01.2023 21:00 (CET/CEST)","0","2192","2181"
"BZN|BE","07.01.2023 21:00 - 07.01.2023 22:00 (CET/CEST)","0","2169","2195"
"BZN|BE","07.01.2023 22:00 - 07.01.2023 23:00 (CET/CEST)","0","2141","2116"
"BZN|BE","07.01.2023 23:00 - 08.01.2023 00:00 (CET/CEST)","0","2006","1966"
"BZN|BE","08.01.2023 00:00 - 08.01.2023 01:00 (CET/CEST)","0","1472","1788"
"BZN|BE","08.01.2023 01:00 - 08.01.2023 02:00 (CET/CEST)","0","1347","1571"
"BZN|BE","08.01.2023 02:00 - 08.01.2023 03:00 (CET/CEST)","0","1672","1449"
"BZN|BE","08.01.2023 03:00 - 08.01.2023 04:00 (CET/CEST)","0","1739","1375"
"BZN|BE","08.01.2023 04:00 - 08.01.2023 05:00 (CET/CEST)","0","1833","1376"
"BZN|BE","08.01.2023 05:00 - 08.01.2023 06:00 (CET/CEST)","0","1913","1379"
"BZN|BE","08.01.2023 06:00 - 08.01.2023 07:00 (CET/CEST)","0","1882","1347"
"BZN|BE","08.01.2023 07:00 - 08.01.2023 08:00 (CET/CEST)","0","1878","1350"
"BZN|BE","08.01.2023 08:00 - 08.01.2023 09:00 (CET/CEST)","0","1972","1373"
"BZN|BE","08.01.2023 09:00 - 08.01.2023 10:00 (CET/CEST)","149","2000","1333"
"BZN|BE","08.01.2023 10:00 - 08.01.2023 11:00 (CET/CEST)","584","2005","1400"
"BZN|BE","08.01.2023 11:00 - 08.01.2023 12:00 (CET/CEST)","1361","1913","1468"
"BZN|BE","08.01.2023 12:00 - 08.01.2023 13:00 (CET/CEST)","1707","1953","1594"
"BZN|BE","08.01.2023 13:00 - 08.01.2023 14:00 (CET/CEST)","1332","2021","1721"
"BZN|BE","08.01.2023 14:00 - 08.01.2023 15:00 (CET/CEST)","953","2021","1666"
"BZN|BE","08.01.2023 15:00 - 08.01.2023 16:00 (CET/CEST)","399","2058","1493"
"BZN|BE","08.01.2023 16:00 - 08.01.2023 17:00 (CET/CEST)","62","2095","1645"
"BZN|BE","08.01.2023 17:00 - 08.01.2023 18:00 (CET/CEST)","0","2168","1674"
"BZN|BE","08.01.2023 18:00 - 08.01.2023 19:00 (CET/CEST)","0","2177","1699"
"BZN|BE","08.01.2023 19:00 - 08.01.2023 20:00 (CET/CEST)","0","2163","1675"
"BZN|BE","08.01.2023 20:00 - 08.01.2023 21:00 (CET/CEST)","0","2120","1631"
"BZN|BE","08.01.2023 21:00 - 08.01.2023 22:00 (CET/CEST)","0","2047","1404"
"BZN|BE","08.01.2023 22:00 - 08.01.2023 23:00 (CET/CEST)","0","1973","1206"
"BZN|BE","08.01.2023 23:00 - 09.01.2023 00:00 (CET/CEST)","0","1744","1163"
"BZN|BE","09.01.2023 00:00 - 09.01.2023 01:00 (CET/CEST)","0","1430","1170"
